Repositories:,# Long Methods,Total Smells Detected,Top two smells detected (1st / 2nd) + special cases (~Very close to 2nd highest),Lines of Code (LoC),# Magic Number,# Long statement,# God Components,# Unutilized Abstraction,# Methods
https://github.com/brettwooldridge/HikariCP,0,835,Magic Number / Long statement,13107,529,137,1,14,1396
https://github.com/graphql-java/graphql-java,4,2379,Long Statement / Unutilized abstraction,52378,128,1123,8,234,7878
https://github.com/google/gson,3,1837,Magic Number / Long statement,29262,814,223,4,74,2976
https://github.com/shopizer-ecommerce/shopizer,45,3027,Long Statement / Unutilized abstraction,71401,396,865,1,459,8113
https://github.com/kubernetes-client/java,6,22250,Long Statement / Long Parameter List,432978,2340,9222,12,1572,77500
https://github.com/json-iterator/java,4,1791,Magic Number / Unutilized abstraction,19099,952,115,4,197,1969
https://github.com/javaparser/javaparser,41,11303,Magic Number / Long statement,173041,5575,3889,22,730,21136
https://github.com/java-decompiler/jd-gui,7,842,Magic Number / Long statement,18871,369,165,2,140,2102
https://github.com/javamelody/javamelody,0,2612,Magic Number / Long statement,55295,1329,660,3,43,4622
https://github.com/brunomnsilva/JavaFXSmartGraph,0,121,Magic Number / Long statement,3005,81,15,0,8,307
https://github.com/microsoft/java-debug,2,873,Long statement / Deficient encapsulation,14938,90,257,4,90,1414
https://github.com/knowm/XChart,10,2403,Magic Number / Long statement,20914,1625,344,3,91,2045
https://github.com/docker-java/docker-java,1,1972,Long statement / Magic Number / Broken Hiearchy (323) / Unutilized Abstraction (314),34867,470,473,6,314,5433
https://github.com/coinbase/coinbase-java,0,497,Long statement / Unutilized abstraction,9367,55,194,2,118,1159
https://github.com/VKCOM/vk-java-sdk,3,2407,Unutilized abstraction / Long statement,118832,416,617,17,707,18755
https://github.com/deepjavalibrary/djl,4,6765,Magic Number / Long statement,85836,4915,755,2,193,8412
https://github.com/locationtech/spatial4j,1,1687,Magic Number / Long statement,11199,1364,75,1,24,1273
https://github.com/pentaho/pentaho-reporting,93,31709,Magic Number / Long statement,526559,18110,5051,57,1838,53213
https://github.com/geosolutions-it/geoserver-manager,2,475,Long statement / Magic Number / Broken hierarchy / Complex conditional,14373,122,133,1,12,1373
https://github.com/rjohnsondev/java-libpst,2,1285,Magic Number / Long statement,7342,1143,74,1,0,675
https://github.com/socketio/engine.io-client-java,5,372,Magic Number / Deficient encapsulation,4557,289,11,0,11,478
https://github.com/pubnub/java,6,2592,Long statement / Magic Number,22230,938,1015,1,81,2977
https://github.com/kevinsawicki/http-request,0,181,Magic Number / Long statement,5765,134,22,0,0,550
